Bedrooms,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Page Number
3.0,Hitech City,72000,Unfurnished,3.0,Bachelors,Immediately,2187.0,super-area,2.0,8.0,West,6
3.0,Chitrapuri Colony,72000,Semi-Furnished,3.0,Bachelors,Immediately,2200.0,carpet-area,4.0,9.0,East,6
4.0,Zahara Nagar,72000,Semi-Furnished,4.0,Family,Immediately,2350.0,carpet-area,3.0,5.0,West,6
2.0,Gachibowli,72000,Furnished,2.0,Bachelors,Immediately,798.0,carpet-area,15.0,18.0,West,6
2.0,Nalagandla,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1275.0,super-area,11.0,26.0,West,6
3.0,Gachibowli,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1925.0,super-area,21.0,34.0,,6
3.0,Puppalguda,72000,Semi-Furnished,3.0,Bachelors,Immediately,1140.0,carpet-area,18.0,30.0,East,6
1.0,Masjid Banda,72000,Furnished,1.0,Bachelors/Family,Immediately,450.0,carpet-area,5.0,5.0,North,6
3.0,Nalagandla,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1875.0,super-area,8.0,24.0,East,6
1.0,Kondapur,72000,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,4.0,5.0,East,6
1.0,Kondapur,72000,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,3.0,5.0,East,6
1.0,Kondapur,72000,Furnished,1.0,Bachelors,Immediately,600.0,carpet-area,4.0,5.0,North,6
1.0,Kondapur,72000,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,3.0,5.0,East,6
2.0,Kondapur,72000,Furnished,2.0,Bachelors,Immediately,1235.0,super-area,4.0,5.0,North,7
1.0,Kondapur,72000,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,4.0,5.0,North,7
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Family,Immediately,1150.0,carpet-area,14.0,18.0,West,7
2.0,"Hyder Nagar, NH 9",72000,Unfurnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,2.0,5.0,,7
4.0,Whitefields,72000,Semi-Furnished,6.0,Bachelors/Family,Immediately,3590.0,carpet-area,7.0,20.0,West,7
2.0,Gachibowli,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1350.0,super-area,2.0,15.0,,7
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors,Immediately,2020.0,super-area,17.0,39.0,West,7
3.0,"Kokapet, Outer Ring Road",72000,Semi-Furnished,3.0,Family,Immediately,2124.0,super-area,30.0,34.0,West,7
1.0,Gangaram Chanda Nagar,72000,Furnished,1.0,Bachelors/Family,Immediately,480.0,carpet-area,5.0,5.0,East,7
3.0,Gachibowli,72000,Furnished,3.0,Bachelors/Family,Immediately,1895.0,super-area,1.0,6.0,East,7
3.0,Kondapur,72000,Semi-Furnished,3.0,Family,Immediately,2530.0,super-area,10.0,24.0,West,7
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors,Immediately,1500.0,carpet-area,12.0,30.0,East,7
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors,Immediately,1715.0,super-area,13.0,39.0,West,7
2.0,Kondapur,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,5.0,5.0,North,7
3.0,Yapral,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1585.0,carpet-area,2.0,5.0,West,7
3.0,"Narsingi, Outer Ring Road",72000,Furnished,3.0,Bachelors,Immediately,1860.0,super-area,2.0,40.0,West,7
3.0,"Kukatpally, NH 9",72000,,,Bachelors/Family,Immediately,2840.0,super-area,,,,7
3.0,Gachibowli,72000,Semi-Furnished,3.0,Bachelors,Immediately,886.0,carpet-area,2.0,18.0,West,7
2.0,"Sun City, Bandlaguda, Chevella Road",72000,Unfurnished,2.0,Family,Immediately,1150.0,carpet-area,1.0,3.0,East,7
2.0,HUDA Layout Nalagandla,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,3.0,14.0,East,7
3.0,"Pocharam, NH 2 2",72000,Semi-Furnished,3.0,Family,Immediately,1400.0,carpet-area,3.0,4.0,,7
2.0,Kondapur,72000,Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,4.0,5.0,East,7
2.0,Kompally,72000,Semi-Furnished,2.0,Bachelors,Immediately,764.0,carpet-area,2.0,10.0,West,7
3.0,Hyderabad,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,2200.0,super-area,3.0,5.0,,7
3.0,"Banjara Hills, NH 9",72000,Semi-Furnished,3.0,Bachelors,From Mar '26,3000.0,super-area,2.0,5.0,East,7
2.0,"Pragathi Nagar, Kukatpally",72000,Unfurnished,2.0,Family,Immediately,797.0,carpet-area,4.0,5.0,West,7
3.0,"Kokapet, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors,Immediately,1960.0,super-area,10.0,14.0,North,7
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1715.0,super-area,11.0,39.0,,7
2.0,Puppalguda,72000,Semi-Furnished,2.0,Bachelors,Immediately,1150.0,carpet-area,1.0,5.0,West,7
3.0,Sri Ram Nagar Colony Banjara Hills,72000,Semi-Furnished,4.0,Bachelors,Immediately,2800.0,carpet-area,2.0,4.0,North,7
2.0,Gachibowli,72000,Furnished,2.0,Bachelors,Immediately,1260.0,super-area,4.0,20.0,North - East,8
3.0,"Pragathi Nagar, Kukatpally",72000,Furnished,3.0,Bachelors/Family,Immediately,1500.0,super-area,1.0,4.0,East,8
2.0,"Chilkanagar, Secunderabad",72000,Furnished,1.0,Bachelors/Family,Immediately,1100.0,super-area,1.0,3.0,North - East,8
2.0,"Pocharam, NH 2 2",72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,5.0,14.0,West,8
2.0,Himayatnagar,72000,Semi-Furnished,2.0,Bachelors,Immediately,900.0,carpet-area,1.0,3.0,East,8
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors,Immediately,1540.0,super-area,23.0,40.0,West,8
3.0,Rajendranagar Mandal,72000,Furnished,2.0,Family,Immediately,1316.0,carpet-area,9.0,10.0,West,8
4.0,"Uppal, NH 2 2",72000,Semi-Furnished,4.0,Bachelors/Family,Immediately,2988.0,super-area,6.0,24.0,,8
