BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
2.0,"Gundlapochampally, Outer Ring Road",20000.0,Unfurnished,2.0,Bachelors,Immediately,1362.0,super-area,7.0,15.0,East,2.0,5
3.0,Toli Chowki,30000.0,Semi-Furnished,3.0,Bachelors,Immediately,1600.0,carpet-area,2.0,4.0,East,2.0,5
3.0,"Patrika Nagar, Hitech City",76000.0,Furnished,3.0,Bachelors,Immediately,2100.0,super-area,5.0,10.0,North - East,,5
1.0,"Ameerpet, NH 9",10000.0,Unfurnished,1.0,Bachelors/Family,Immediately,300.0,super-area,4.0,5.0,,,5
3.0,Gachibowli,70000.0,Unfurnished,3.0,Bachelors,Immediately,2360.0,super-area,10.0,15.0,West,,5
3.0,Appa Junction Area,38000.0,Semi-Furnished,3.0,Family,Immediately,1700.0,carpet-area,11.0,14.0,North,2.0,5
2.0,Nizampet,18000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1400.0,carpet-area,2.0,2.0,North,2.0,5
3.0,Nalagandla,58000.0,Semi-Furnished,3.0,Bachelors,Immediately,1790.0,super-area,11.0,24.0,West,2.0,5
2.0,Nizampet,22000.0,Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,,,5
4.0,Gachibowli,,Furnished,5.0,Family,Immediately,4600.0,super-area,6.0,24.0,East,3.0,5
2.0,Gachibowli,50000.0,Furnished,2.0,Bachelors,Immediately,798.0,carpet-area,15.0,18.0,West,1.0,5
3.0,Gachibowli,50000.0,Furnished,3.0,Bachelors/Family,Immediately,1670.0,super-area,3.0,3.0,East,3.0,6
2.0,Chanda Nagar,20000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,1.0,5.0,,,6
2.0,Kondapur,35000.0,Semi-Furnished,2.0,Bachelors,From Apr '26,1150.0,carpet-area,2.0,4.0,East,2.0,6
2.0,Alwal,13500.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,2400.0,super-area,2.0,4.0,,,6
3.0,HUDA Layout Nalagandla,43000.0,Semi-Furnished,3.0,Family,Immediately,1550.0,carpet-area,7.0,10.0,East,1.0,6
2.0,"Banjara Hills, NH 9",,Furnished,3.0,Bachelors,Immediately,2000.0,carpet-area,4.0,4.0,,2.0,6
1.0,Hyderabad,,Semi-Furnished,1.0,Bachelors/Family,Immediately,900.0,super-area,4.0,5.0,,1.0,6
3.0,"Ghatkesar, NH 2 2",20000.0,Furnished,3.0,Bachelors/Family,Immediately,1400.0,super-area,4.0,4.0,South,2.0,6
3.0,Nanakaramguda,65000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1275.0,carpet-area,9.0,26.0,West,1.0,6
3.0,Nalagandla,60000.0,Furnished,3.0,Bachelors/Family,Immediately,1800.0,carpet-area,6.0,8.0,North - West,2.0,6
3.0,Kondapur,58000.0,Furnished,3.0,Bachelors/Family,Immediately,2100.0,super-area,2.0,23.0,,,6
3.0,"Manchirevula, Outer Ring Road",55000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,3000.0,super-area,2.0,5.0,,,6
2.0,Asif Nagar,,Unfurnished,2.0,Bachelors/Family,Immediately,900.0,carpet-area,,5.0,,1.0,6
4.0,Kukatpally Housing Board Road,60000.0,Semi-Furnished,4.0,Bachelors,Immediately,2100.0,carpet-area,2.0,11.0,North - East,3.0,6
3.0,"Samata Colony, Toli Chowki",35000.0,Unfurnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,5.0,6.0,,,6
1.0,Hyderabad,12500.0,Furnished,1.0,Bachelors/Family,Immediately,600.0,super-area,,2.0,,,6
3.0,Kondapur,35000.0,Semi-Furnished,3.0,Bachelors,Immediately,1500.0,super-area,3.0,5.0,West,,6
4.0,Madhapur,94000.0,Semi-Furnished,4.0,Family,Immediately,2900.0,carpet-area,3.0,5.0,North,2.0,6
3.0,Kondapur,60000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1100.0,carpet-area,14.0,39.0,West,1.0,6
2.0,Kondapur,35000.0,Semi-Furnished,2.0,Family,Immediately,1100.0,carpet-area,4.0,4.0,West,2.0,6
3.0,Khajaguda,70000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,2100.0,carpet-area,4.0,10.0,West,2.0,6
3.0,Hitech City,60000.0,Unfurnished,3.0,Bachelors,Immediately,2187.0,super-area,2.0,8.0,West,1.0,6
3.0,Chitrapuri Colony,60000.0,Semi-Furnished,3.0,Bachelors,Immediately,2200.0,carpet-area,4.0,9.0,East,2.0,6
4.0,Zahara Nagar,,Semi-Furnished,4.0,Family,Immediately,2350.0,carpet-area,3.0,5.0,West,1.0,6
2.0,Gachibowli,50000.0,Furnished,2.0,Bachelors,Immediately,798.0,carpet-area,15.0,18.0,West,1.0,6
2.0,Nalagandla,45000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1275.0,super-area,11.0,26.0,West,1.0,6
3.0,Gachibowli,80000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1925.0,super-area,21.0,34.0,,,6
3.0,Puppalguda,65000.0,Semi-Furnished,3.0,Bachelors,Immediately,1140.0,carpet-area,18.0,30.0,East,2.0,6
1.0,Masjid Banda,23000.0,Furnished,1.0,Bachelors/Family,Immediately,450.0,carpet-area,5.0,5.0,North,1.0,6
3.0,Nalagandla,63875.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1875.0,super-area,8.0,24.0,East,,6
1.0,Kondapur,23500.0,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,4.0,5.0,East,1.0,7
1.0,Kondapur,23500.0,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,3.0,5.0,East,1.0,7
1.0,Kondapur,25000.0,Furnished,1.0,Bachelors,Immediately,600.0,carpet-area,4.0,5.0,North,1.0,7
1.0,Kondapur,24000.0,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,3.0,5.0,East,1.0,7
2.0,Kondapur,40000.0,Furnished,2.0,Bachelors,Immediately,1235.0,super-area,4.0,5.0,North,1.0,7
1.0,Kondapur,22000.0,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,4.0,5.0,North,1.0,7
3.0,"Narsingi, Outer Ring Road",50000.0,Semi-Furnished,3.0,Family,Immediately,1150.0,carpet-area,14.0,18.0,West,1.0,7
2.0,"Hyder Nagar, NH 9",23000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,2.0,5.0,,2.0,7
4.0,Whitefields,,Semi-Furnished,6.0,Bachelors/Family,Immediately,3590.0,carpet-area,7.0,20.0,West,2.0,7
2.0,Gachibowli,45000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1350.0,super-area,2.0,15.0,,,7
3.0,"Narsingi, Outer Ring Road",75000.0,Semi-Furnished,3.0,Bachelors,Immediately,2020.0,super-area,17.0,39.0,West,3.0,7
3.0,"Kokapet, Outer Ring Road",80000.0,Semi-Furnished,3.0,Family,Immediately,2124.0,super-area,30.0,34.0,West,2.0,7
1.0,Gangaram Chanda Nagar,22000.0,Furnished,1.0,Bachelors/Family,Immediately,480.0,carpet-area,5.0,5.0,East,,7
