Title,BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,,Const. Age Less than 5 years,1166,carpet-area,28,34,West,1,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,,Furnished,1,Bachelors,Immediately,950,carpet-area,5,6,East,1,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,4,5,East,1,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,5,5,East,1,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,2,5,North,1,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,550,carpet-area,3,5,East,1,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,4,5,North,1,14
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",3.0,Masjid Banda,6000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1900,carpet-area,1,20,East,2,14
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",4500.0,Furnished,2,Bachelors/Family,Immediately,1200,carpet-area,2,30,East,1,15
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",2.0,Gachibowli,,Furnished,3,Bachelors/Family,Immediately,1700,carpet-area,5,5,South,,15
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,2000.0,Semi-Furnished,2,Bachelors,Immediately,1100,carpet-area,3,5,East,2,15
"3 BHK Flat  for Rent in Alkapoor, Hyderabad",3.0,Alkapoor,5800.0,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,8,15,East,1,15
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,7000.0,Semi-Furnished,3,Bachelors,Immediately,1805,super-area,7,26,East,2,15
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,5000.0,Furnished,3,Family,Immediately,1615,super-area,17,24,East,1,15
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",7200.0,Semi-Furnished,3,Bachelors,Immediately,2020,super-area,17,39,West,1,15
"3 BHK Flat  for Rent in Financial District, Nanakram Guda, Hyderabad",3.0,"Financial District, Nanakram Guda",,Semi-Furnished,3,Bachelors/Family,Immediately,1950,super-area,7,9,East,1,15
"4 BHK Flat  for Rent in Malakunta Financial District, Hyderabad",4.0,Malakunta Financial District,25000.0,Semi-Furnished,4,Bachelors/Family,Immediately,7700,carpet-area,25,27,East,3,16
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Semi-Furnished,1,Bachelors,Immediately,560,carpet-area,4,5,East,1,16
"4 BHK Flat  for Rent in Hitech City, Hyderabad",4.0,Hitech City,18000.0,Semi-Furnished,4,Bachelors/Family,Immediately,4070,super-area,32,35,East,3,16
"3 BHK Flat  for Rent in Izzathnagar, Hyderabad",3.0,Izzathnagar,8000.0,Semi-Furnished,3,Bachelors,Immediately,2188,super-area,16,40,East,2,16
1 BHK Flat  for Rent in  Hyderabad,1.0,Hyderabad,,Furnished,1,Bachelors,Immediately,700,carpet-area,1,2,North - West,2,16
"3 BHK Flat  for Rent in Nanakaramguda, Hyderabad",3.0,Nanakaramguda,,Semi-Furnished,2,Bachelors/Family,Immediately,1935,super-area,6,12,West,1,16
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,5000.0,Furnished,3,Family,Immediately,1600,carpet-area,17,31,West,2,16
